Tariq,Tariq@123,Tariq,Magenta,M101,9019901122,tariq@gmail.com,0,A
Syed,4FIU98kF,Syed,Magenta,M102,7452409304,syedsns@gmail.com,5000,R
Vijay,couJpE9B,Vijay,Magenta,M103,6385095923,vijaysns@gmail.com,10000,R
Sandhya,HgDrbRaS,Sandhya,Magenta,M104,9718092648,sandhyasns@gmail.com,5000,R
Geetha,7ujv2VX4,Geetha,Magenta,M105,9534112806,geethasns@gmail.com,10000,R
Srinidhi VG,Srin123,Srinidhi VG,Magenta,M201,9354835486,srindhi@gmail.com,0,5000
Murari,nMAkWJsH,Murari,Magenta,M202,8103990774,murarisns@gmail.com,0,R
Arya,MqoVOAFL,Arya,Magenta,M203,6116446764,aryasns@gmail.com,5000,R
Santhosh,ViTh24th,Santhosh,Magenta,M204,9510184203,santhosh@gmail.com,15000,R
Nandha,QQ6pt0zB,Nandha,Magenta,M205,9394176641,nandha@gmail.com,5000,R
Jyotsana ,WNs481ac,Jyotsana ,Magenta,M301,8947561238,jyotsana@gmail.com,15000,R
Javed,E2z8YsrX,Javed,Magenta,M302,8101490656,javed@gmail.com,5000,R
Kamal,qqnjOLJ7,Kamal,Magenta,M303,7863501905,kamal@gmail.com,10000,R
Niraj,Eihnghkq,Niraj,Magenta,M304,6374852648,niraj@gmail.com,5000,R
Aparna,4eMVC79J,Aparna,Magenta,M305,9368524170,aparna@gmail.com,0,R
Mohammed,MVSxWgFx,Mohammed,Magenta,M401,9571384206,mohammed@gmail.com,0,R
,,,Magenta,M402,,,,
Lavanya,QUuI7D6f,Lavanya,Magenta,M403,8523691470,lavanya@gmail.com,25000,R
Mithali,4FIU98kF,mithali,Magenta,M404,7452409304,mithali@gmail.com,5000,R
Kumari,mZXKGq8A,Kumari,Magenta,M405,9510234786,kumari@gmail.com,0,R
,,,Magenta,M501,,,,
Khalid,v7N39GQJ,Khalid,Magenta,M502,8856974100,khalid@gmail.com,5000,R
Anandi,kZCH0hH1,Anandi,Magenta,M503,9638527410,anandi@gmail.com,25000,R
Tharini,ELejwBFa,Tharini,Magenta,M504,9837492003,tharini@gmail.com,5000,R
Rijja,Rijja@123,Rijja,Magenta,M505,9856592423,rijjahakkim@gmail.com,0,A
Nisha,s2x9tWbo,Nisha,Magenta,M601,8547963251,nisha@gmail.com,5000,R
Harry,htBVSOWu,Harry,Magenta,M602,9004157633,harry@gmail.com,15000,R
Nanditha,dxB1YbX9,Nanditha,Magenta,M603,8067431298,nanditha@gmail.com,10000,R
,,,Magenta,M604,,,,
Pavani,4mFZkPXc,Pavani,Magenta,M605,8585747496,pavani@gmail.com,5000,R
Abhinandha,QQ6pt0zB,Abhinandha,Magenta,M701,9394176641,abhinandha@gmail.com,10000,R
Nikhil,cfK1EULo,Nikhil,Magenta,M702,8558966370,nikhil@gmail.com,5000,R
Hema,IXyArRQX,Hema,Magenta,M703,7282414605,hema@gmail.com,25000,R
Pramitha,IKUoP5fT,Pramitha,Magenta,M704,7909101310,pramitha@gmail.com,0,R
Varshigan,CAZKdh6X,Varshigan,Magenta,M705,8866992201,varshigan@gmail.com,5000,R
Sowmya,f6S6qmt8,Sowmya,Magenta,M801,8192734065,sowmya@gmail.com,10000,R
Babar,9RUvzUj9,Babar,Magenta,M802,7538942160,babar@gmail.com,25000,R
Zeenath,z186qGgt,Zeenath,Magenta,M803,6451264875,zeenath@gmail.com,5000,R
Meghana,AdSiwixf,Meghana,Magenta,M804,9045687230,meghana@gmail.com,0,R
Jothi,M580pudq,Jothi,Magenta,M805,6378952014,jothi@gmail.com,0,R
Shriya,4RfySh08,Shriya,Magenta,M901,7288122209,shriya@gmail.com,25,000,R
Abinath,Na08RftU,Abinath,Magenta,M902,9787933062,abinath@gmail.com,5000,R
Navin,IEtfAgIb,Navin,Magenta,M903,8485166623,navin@gmail.com,15,000,R
Harvin,Ic8BmC7x,Harvin,Magenta,M904,9723202528,harvin@gmail.com,5000,R
Rakshitha,Rakshi@123,Rakshitha,Magenta,M905,9696853120,rakshitha@gmail.com,0,A
Sethuraman,Qd4LOdCK,Sethuraman,Magenta,M1001,9570897558,sethuraman@gmail.com,10,000,R
Vaibhav,HMI8zkUh,Vaibhav,Magenta,M1002,8043600721,vaibhav@gmail.com,0,R
,,,Magenta,M1003,,,,
Sruthi,s7QWIKss,Sruthi,Magenta,M1004,9125436874,sruthi@gmail.com,5000,R
Thaman,IakEvFqo,Thaman,Magenta,M1005,9430294302,thaman@gmail.com,15000,RTariq,Tariq@123,Tariq,Magenta,M101,9010588157,tariqsknsp@gmail.com,5000,A
